Name,playerid,Age
Michael Gibbons,sa876538,#N/A
Benjamin Holmes,sa549147,30
Wily Peralta,7738,33
Clay Buchholz,3543,#N/A
Wilfredo Boscan,7655,#N/A
Emerson Hancock,sa3014456,23
Zach Plesac,19979,27
James Marvel,19675,28
Brady Feigl,sa3007455,26
Jhony Brito,sa916962,24
Felipe Vazquez,12076,#N/A
Edwin Diaz,14710,28
Aroldis Chapman,10233,34
Jhonathan Diaz,20298,25
Steven Brault,15291,30
Anthony Kay,20387,27
Dennis Brady,sa3004347,25
Shao-Ching Chiang,sa659598,#N/A
Tyler Mapes,sa603121,#N/A
Dinelson Lamet,17186,29
John Ginn,sa3014428,23
Kolby Allard,18694,24
Garrett Hill,sa3007259,26
Michael Kopech,17282,26
Riley O'Brien,20348,27
Justin Bullock,sa3005213,23
Cole Irvin,19244,28
Zac Lowther,20243,26
Matthew Solter,sa917121,#N/A
Taylor Rogers,13449,31
Homer Bailey,8362,36
Emmanuel Clase,21032,24
Jordan Balazovic,sa918017,23
Pedro Avila,18864,25
Zach Davies,13183,29
Bryan Hoeing,sa3011492,25
Thaddeus Ward,sa3008098,25
Kyle Young,sa918488,#N/A
Vladimir Gutierrez,19278,26
Devin Williams,15816,27
Aaron Ashby,23550,24
Tyler Anderson,12880,32
Shane McCarthy,sa915740,25
Tyler Viza,sa738610,27
Felix Hernandez,4772,#N/A
Omar Cruz,sa3006971,23
Beau Brieske,sa3010832,24
Ryan Yarbrough,16502,30
Ryan Feltner,21446,25
Ryan Pressly,7005,33
Jack Flaherty,17479,26
Josh Winder,sa3007993,25
Aaron Bummer,16258,28
Kyle Lloyd,15378,#N/A
Raisel Iglesias,17130,32
Taylor Hill,12515,#N/A
Osvaldo Hernandez,sa975541,24
Asher Wojciechowski,10836,33
Ryan Carpenter,12699,#N/A
Jayden Murray,sa1170405,25
Jose Castillo,17169,#N/A
Henderson Alvarez,5669,#N/A
Danny Salazar,5867,#N/A
Packy Naughton,23292,26
Anibal Sanchez,3284,38
Matt Barnes,12863,32
Lucas Sims,13470,28
Jake Arrieta,4153,36
Caleb Ferguson,19349,25
Jordan Romano,16122,29
Art Warren,18251,29
Tommy Kahnle,11384,32
Nick Burdi,16074,29
Jonathan Loaisiga,19753,27
Corbin Martin,19884,26
Brandon Finnegan,16208,29
Spencer Strider,27498,23
Paul Richan,sa3008025,25
Blake Treinen,12572,34
Kade McClure,sa915622,26
Xzavion Curry,sa3014790,23
Brusdar Graterol,20367,23
Alex Wells,19845,25
Tejay Antone,16233,28
Fredrick DeVito,sa1116003,23
Chase De Jong,15036,28
Ariel Pena,10240,#N/A
Tim Melville,9149,#N/A
Chad Green,15552,31
Luis Severino,15890,28
Jon Lester,4930,38
Mike Clevinger,12808,31
Charles Priester,sa3011297,21
Bryce Bonnin,sa3014453,23
Jason Bilous,sa875998,24
Giovanny Gallegos,14986,30
Matthew Canterino,sa3011530,24
Jose Alvarado,17780,27
Kai-Wei Teng,sa3007229,23
Trevor May,6398,32
Treyson Supak,sa828707,#N/A
Javy Guerra,17292,26
Darius Vines,sa918848,24
Garrett Crochet,27463,23
Cole Winn,sa3008662,22
Cam Sanders,sa3008067,25
Tyler Matzek,10058,31
Humberto Mejia,20739,25
Julio Teheran,6797,31
Hans Crouse,22192,23
Freddy Peralta,18679,26
Andres Munoz,20373,23
James Karinchak,20151,26
Drew Pomeranz,11426,33
Eury Perez,sa3014807,19
Daniel Hudson,7146,35
Eduardo Salazar,sa3003131,24
Michael Fulmer,13218,29
David Bednar,19569,27
Jimmy Nelson,10547,33
Tanner Scott,17586,27
Scott Barlow,14993,29
Andrew Kittredge,12828,32
Jordan Johnson,sa602658,#N/A
Domingo German,17149,29
Anthony Bender,19742,27
Craig Kimbrel,6655,34
Aaron Blair,14934,30
Garrett Henzman,sa3005187,#N/A
Tyler Ivey,20237,26
David Price,3184,36
James Norwood,16440,28
Jake McGee,7550,35
Josh Rogers,18510,27
Kohei Arihara,27505,29
Joe Kelly,9761,34
Will Harris,3192,37
Robinson Pina,sa3003123,23
Hector Neris,11804,33
Richard Bleier,7803,35
Gregory Soto,19677,27
Sam Coonrod,17264,29
Dylan Coleman,22276,25
Cionel Perez,19614,26
Kirby Yates,9073,35
Jake Cousins,21620,27
Seth Lugo,12447,32
A.J. Alexy,22343,24
Daniel Norris,13475,29
Reiss Knehr,21541,25
Kirby Snead,19179,27
Pierce Johnson,13435,31
Adam Scott,sa3006826,26
Josh Lindblom,7882,35
Garrett Whitlock,20191,26
Scott Oberg,13911,#N/A
Will Smith,8048,32
Genesis Cabrera,17490,25
Sixto Sanchez,19680,23
Aaron Loup,10343,34
Luke Jackson,11752,30
Miguel Gonzalez,7024,#N/A
Gregory Santos,21894,22
Luis Garcia,6984,35
Tim Mayza,15042,30
Pete Fairbanks,17998,28
Diego Castillo,17496,28
Kenley Jansen,3096,34
Daniel Espino,sa3011495,21
Josh Taylor,17359,29
Jordan Hicks,19618,25
Samuel Delaplane,sa3004222,#N/A
Joely Rodriguez,11487,30
Tanner Houck,19879,26
Camilo Doval,21992,24
Adbert Alzolay,17859,27
Darien Nunez,21197,29
A.J. Minter,18655,28
Cristopher Sanchez,20778,25
Corey Knebel,15010,30
Trevor Megill,17722,28
Justin Topa,15145,31
Jake Diekman,5003,35
Phil Bickford,18519,26
Sean Newcomb,16943,29
Charlie Barnes,19865,26
Alex Wood,13781,31
Dietrich Enns,13932,31
Hoby Milner,13346,31
Brandon Morrow,9346,#N/A
Trey Wingenter,17793,#N/A
Keone Kela,14696,29
Tim Hill,16814,32
Patrick Murphy,19712,27
Steven Wilson,sa3006795,27
Kwang-hyun Kim,27458,33
Tanner Rainey,17610,29
Ricky Nolasco,3830,#N/A
Sean Poppen,19583,28
Jay Jackson,7432,34
Kyle McGowin,15071,30
Jose Leclerc,14524,28
Garrett Cleavinger,17897,28
Neftali Feliz,18,34
Victor Gonzalez,16408,26
Brady Feigl,sa824867,#N/A
Daniel Bard,7115,37
Tyler Wells,20000,27
Julian Merryweather,16703,30
Connor Brogdon,21205,27
Mitchell Kilkenny,sa3010119,25
Miguel Castro,15684,27
Danny Duffy,3542,33
Jeurys Familia,5114,32
Amir Garrett,14375,30
Ian Kennedy,6986,37
Collin McHugh,7531,35
Luis Gil,21052,24
Paul Sewald,13892,32
Alex Vesia,25007,26
Nick Raquet,sa3004658,#N/A
Brett Kennedy,17877,27
Chris Martin,11847,36
Luke Heimlich,sa3008629,#N/A
Alexander Royalty,sa3006825,25
Colin Rea,12317,31
Cristian Javier,17606,25
Jeffrey Springs,17677,29
Heath Hembree,11632,33
Bailey Falter,20070,25
Indigo Diaz,sa3011726,23
Scott Alexander,10591,32
Paul Fry,15832,29
Enyel De Los Santos,18403,26
Eli Morgan,20203,26
Manuel Rodriguez,20794,25
Seth Romero,21333,26
Ross Detwiler,2859,36
Kendall Graveman,15514,31
Steven Okert,13580,30
Roderick Dabovich,sa3014431,23
Mitch White,19225,27
Arturo Lopez,3319,#N/A
Dylan Floro,13394,31
Josh Staumont,18335,28
Nick Sandlin,20517,25
Mark Melancon,4264,37
Luke Barker,sa977837,30
Tayler Saucedo,17888,29
Andrew Vasquez,19482,28
Janson Junk,23301,26
