Name,playerid,Age
Vinny Nittoli,16754,31
Taylor Guilbeau,18306,29
Allan Winans,sa3007580,26
Juan Minaya,10341,31
Chris Rodriguez,22310,23
Brad Ziegler,7293,#N/A
Jorge Lopez,14527,29
Ronald Bolanos,20041,25
Matthew Eckelman,sa857600,28
Deolis Guerra,8410,33
Thyago Vieira,14510,#N/A
Jake Fishman,sa918699,27
Seth Martinez,21045,27
Jonathan Holder,16588,29
Brandon Waddell,18347,28
Peter Solomon,20476,25
David Sosebee,sa602907,#N/A
Daysbel Hernandez,sa3006065,25
Zack Greinke,1943,38
Jake Odorizzi,6397,32
Robert Miller,sa3014422,23
Andrew McInvale,sa3011143,25
Nabil Crismatt,17732,27
Joseph Shaw,sa658941,28
Joey Marciano,sa3004637,27
Trevor Gott,15046,29
Corbin Clouse,sa918605,27
Thomas Burrows,sa874215,27
Drew Steckenrider,18806,31
David Hale,9756,34
Michael Burrows,sa3008517,22
Corey Oswalt,13677,28
Connor Overton,18376,28
Miguel Aguilar,19246,30
Jeremy Bleich,9069,#N/A
Anthony Swarzak,7466,36
Dereck Rodriguez,14509,30
Jake Dahlberg,sa3004475,28
Michael Wacha,14078,30
Jared Hughes,9325,36
Johan Quezada,20643,27
Yohan Ramirez,19444,27
Aaron Rozek,sa3015224,26
Jacob Wong,sa3008100,#N/A
Joshua Dye,sa3007485,25
Sterling Sharp,19671,27
Travis Bergen,18581,28
Aneurys Zabala,sa828514,25
Ian Gibaut,17871,28
Jose Rodriguez,17860,26
Braden Zarbnisky,sa3014791,25
Conor Fisk,sa549950,30
Brad Wilson,sa3007247,#N/A
Tommy Doyle,21281,26
Jeffrey Singer,sa919323,28
Nicholas Mikolajchak,sa3010303,24
Zack Leban,sa3007967,26
Michael Kelly,sa597767,29
Nathan Kirby,sa874754,28
Luis Gonzalez,sa550522,30
Miguel Figueroa,sa916836,24
John Patterson,sa3007860,#N/A
Jacob Webb,19274,28
Jordan Harrison,sa502697,#N/A
Ben Lively,14932,#N/A
Sean Nolin,11341,32
Dauri Moreta,21101,26
Jake Newberry,15136,27
Samuel Wolff,sa503437,31
Justin Hagenman,sa3008022,25
Miguel Sanchez,20074,28
Damien Magnifico,13395,#N/A
Aaron Barrett,11243,34
Tyler Zuber,20379,27
Zach Hedges,sa829393,#N/A
Andres Nunez,sa3006796,26
Parker Mushinski,sa873283,26
Justin Dillon,sa659283,28
Matt Shoemaker,4776,35
Yacksel Rios,15007,29
Dan Otero,7385,#N/A
Manny Parra,4279,#N/A
Stephen Tarpley,15859,29
Lou Trivino,15043,30
Nick Wittgren,15594,31
Ryan Lawlor,sa875198,28
Keegan Curtis,sa3007833,26
Nick Nelson,20153,26
Zachary Jackson,sa874174,27
Daniel Stumpf,13780,#N/A
Bryan Menendez,sa3006990,#N/A
Brett De Geus,23592,24
Randy Dobnak,23798,27
Enderson Franco,11896,#N/A
Cy Sneed,16106,29
Marshall Kasowski,sa3005114,27
Zac Rosscup,9419,34
Adam Liberatore,10637,#N/A
Dusten Knight,16537,31
Ryne Harper,12680,33
Nick Tropeano,12385,31
Valentin Linarez,sa3006557,22
Joe Jacques,sa3007493,27
Andrew Suarez,18300,29
Casey Lawrence,11121,34
Vincent Arobio,sa918614,27
Tony Gonsolin,19388,28
James Bourque,16668,28
Ryan Conroy,sa3007906,25
Pedro Strop,4070,37
Aaron Pinto,sa3006823,25
John Sousa,sa913181,27
Brad Brach,6627,36
Alex Troop,sa915638,25
Rayan Gonzalez,sa455370,#N/A
Anthony Maldonado,sa1169893,24
Kevin Herget,sa738986,31
Michael Feliz,11903,29
Randy Valladares,sa830278,#N/A
Ryan Kelly,4858,#N/A
Blake Taylor,16418,26
Chris Volstad,9901,#N/A
Luis Patino,22815,22
Robert Gsellman,13696,28
William Kincanon,sa918672,26
Zachary Warren,sa829420,26
Zach McAllister,2895,34
David Carpenter,3959,#N/A
Adams Cuevas,sa920823,#N/A
Werner Leal,sa737001,#N/A
Alex Lange,19883,26
Riley Smith,19826,27
Adam Conley,14457,32
C.D. Pelham,19820,#N/A
CC Sabathia,404,#N/A
Colton Turner,sa658600,#N/A
John Bellomy,sa1170484,25
Fernando Abad,4994,36
Williams Perez,11592,#N/A
Andres Machado,14681,29
George Soriano,sa917493,23
Mike Montgomery,4869,32
Sam Hentges,18548,25
Ben Hecht,sa738501,#N/A
Francis Bartow,sa3007205,25
Mack Lemieux,sa875726,25
Luis Pena,sa837845,#N/A
Tanner Roark,8753,35
John Sears,sa3004100,26
Allen Webster,3993,#N/A
Cody Anderson,12799,#N/A
Jose Samayoa,sa737921,#N/A
Ryan Eades,14808,30
Zach Phillips,99,#N/A
Adrian Hernandez,sa3006177,22
Maikel Cleto,5529,#N/A
Scott Kobos,sa3014856,24
Victor Alcantara,15028,#N/A
Nicholas Robertson,sa3011248,23
Carson Fulmer,18311,28
Ronel Blanco,sa919082,28
Shun Yamaguchi,sa3015038,34
Brooks Kriske,21189,28
Leonardo Crawford,sa872530,25
Benjamin Onyshko,sa3008096,25
Raymond Kerr,sa3005362,27
Tony Sipp,8280,#N/A
Josh Roberson,sa3007721,26
Stephen Nogosek,19545,27
Dan Jennings,8073,#N/A
Mac Sceroler,22218,27
Jeffrey Kinley,sa857590,#N/A
R.J. Alaniz,10819,31
Jonathan Sprinkle,sa3014792,23
Logan Ondrusek,3677,37
Yaisel Sierra,sa909930,31
Adrian Martinez,sa873428,25
Brandyn Sittinger,19192,28
Brandon Koch,sa875026,28
Jacob Bosiokovic,sa918394,28
Arquimedes Caminero,8992,#N/A
Connor Sadzeck,13483,30
Jose Mujica,17821,26
Jordan Milbrath,sa738636,30
Zachary Houston,sa874155,27
Sam Moll,14874,30
Charles Hall,sa1170906,27
Gabe Klobosits,19881,27
Nolan Blackwood,sa874212,27
Keegan Thompson,19795,27
Cody Morris,sa3008653,25
Charvez Carter,sa3007490,25
Erik Miller,sa3011336,24
Jeffrey Bain,sa829808,26
Carlo Reyes,sa3008713,23
Colton Hock,sa915685,26
Jesse Scholtens,sa918144,28
Zachery Brown,sa738901,27
Zach Duke,3840,#N/A
Albert Abreu,17485,26
James Joyce,sa3016914,23
Emmanuel Ramirez,sa736752,27
Scott Kazmir,4897,38
Ryan Atkinson,sa921224,#N/A
Mitchell Ragan,sa3009944,25
Jacob Condra-Bogan,sa3005422,#N/A
Matt Foster,19647,27
Zack Burdi,19159,27
Justin Lawrence,17639,27
Angel Duno,sa657211,#N/A
Tyler Mitzel,sa3007862,26
Wennington Romero,sa873220,#N/A
Gio Gonzalez,7448,36
Nicholas Kennedy,sa3004987,26
Zach Matson,sa918537,26
Austin Warner,sa3004494,28
Trevor Cahill,6249,34
Luis Quinones,sa1170867,24
Dennis O'Grady,sa546796,#N/A
Andrew Triggs,13533,33
Marcel Renteria,sa3005016,27
Bryan Mitchell,11479,31
Aaron Northcraft,10218,32
Felix Pena,13403,32
Williams Jerez,14338,30
James Pazos,13323,31
Matt Grace,11449,33
Tyler Danish,15126,27
Greg Holland,7196,36
Jon Edwards,1483,#N/A
Jesus Liranzo,sa658076,27
John Schreiber,20020,28
Adam Hofacket,sa875282,#N/A
Frank Duncan,sa738963,30
Tristian Archer,sa503277,#N/A
Ryan Burr,17536,28
Justin Miller,8580,35
Chasen Shreve,10855,31
Carmen Mlodzinski,sa3014505,23
Tanner Andrews,sa3007850,26
Chaz Roe,9866,35
Ramon Rosso,20368,26
Koda Glover,17695,#N/A
Guillermo Zuniga,sa945024,23
Joe Beimel,979,45
Cooper Casad,sa3008135,#N/A
Dillon McNamara,sa738389,#N/A
Branden Kline,14101,30
Ben Taylor,18114,#N/A
Jefry Yan,sa828460,25
Jake Petricka,10534,34
Nicklaus Bush,sa3007838,25
Conner Greene,16455,27
John Fasola,sa550022,#N/A
Nathan Griep,sa875199,28
Marc Rzepczynski,6612,#N/A
Breckin Williams,sa875020,28
Brendan Feldmann,sa3004803,#N/A
Chasen Bradford,12452,32
Kyle Lobstein,9178,32
Isaac Schlabach,sa875796,25
Steven Fuentes,sa828326,25
Jhon Romero,19940,27
Frank Tunnell,sa3002749,28
Josh Fleming,20418,26
Kelvin Herrera,6033,32
Ramon Santos,sa657843,27
Griffin Canning,19867,26
Mike Wright Jr.,12586,32
Dan Runzler,4080,#N/A
Edinson Volquez,3990,38
A.J. Cole,11467,30
Kevin McCarthy,15240,30
Jake Thompson,14371,#N/A
Tyler Alexander,17735,27
Brandon Kintzler,9939,37
Josh Lueke,5722,#N/A
Bryan Evans,sa455162,#N/A
Brian Ellington,17233,#N/A
Christopher Gau,sa3007728,25
Felipe Paulino,3777,#N/A
Bryan Baker,19804,27
Nicholas Enright,sa3010299,25
Tyler Zombro,sa873686,27
Alan Rangel,sa877578,24
Anthony Shew,sa921212,#N/A
Oliver Perez,1514,40
Brandon Bailey,19582,27
Tyler Pike,sa657974,28
Walker Lockett,13804,28
Drew Rom,sa3007848,22
Cameron Robinson,sa3005216,22
Manny Acosta,8725,#N/A
Randall Delgado,5985,#N/A
Jason Creasy,sa598099,#N/A
Paul Campbell,22248,26
Sam Freeman,6832,35
Hector Noesi,3292,#N/A
Hansel Rodriguez,sa830462,25
Zach Wolf,sa3008071,24
Justin Kelly,sa918908,#N/A
Francisco Perez,21018,24
Matthew Krook,sa737535,27
Ethan Evanko,sa3008037,27
Luke Leftwich,sa857567,28
Reymin Guduan,13058,30
Cesar Vargas,14099,#N/A
Leuris Gomez,sa455628,#N/A
Blake Parker,5224,37
Matt Pidich,sa915680,27
Bryan Bonnell,sa658824,28
Dean Deetz,16687,#N/A
Jesse Stallings,sa915635,27
Trevor Hildenberger,17002,31
Andrew Mitchell,sa3007801,27
Austin Ross,sa3007817,27
Carlos Navas,sa550615,29
Robert Hitt,sa3004463,26
Bradin Hagens,7422,#N/A
Foster Griffin,16432,26
Tyler Weber,sa3014788,24
T.J. Zeuch,19269,26
Reggie McClain,19311,29
Antonio Velez,sa3014850,25
Randy Rosario,14508,28
Garrett Stallings,sa3014457,24
Caleb Frare,14353,#N/A
Sean Doolittle,1581,35
Thomas McIlraith,sa875253,28
Rafael Martin,10258,#N/A
Steven Wright,8185,37
Kyle Zimmer,14169,30
Shelby Miller,10197,31
Noe Toribio,sa3003041,22
Hunter Wood,15091,28
Josh D. Smith,13629,32
Horacio Ramirez,110,#N/A
Jharel Cotton,13654,30
Domingo Acevedo,17092,28
Michael Stryffeler,sa3010005,26
Zachary Greene,sa1119415,25
Eduard Bazardo,20997,26
Mason Melotakis,sa621016,31
Joe Barlow,22296,26
David Speer,sa827385,#N/A
Jackson Stephens,14420,#N/A
Ronald Marinaccio,sa3004593,26
Tommy Wilson,sa3008072,26
Adam McCreery,19550,#N/A
Bryan Dobzanski,sa829656,26
Franco Terrero,sa828421,#N/A
Caleb Boushley,sa3004226,28
Chris Vallimont,sa3008026,25
Brandon Komar,sa3010630,23
Paul Blackburn,14739,28
Cody Ponce,17920,28
Bryce Montes de Oca,sa3014843,26
Drew Anderson,15130,28
Austin Drury,sa3008043,24
Justin Anderson,16201,29
Ryan Hartman,19480,28
Bernardo Flores Jr.,19561,26
David Hernandez,4259,#N/A
Ronald Pena,sa658287,30
Joey Krehbiel,13707,29
Luke Westphal,sa869541,33
Drew Rucinski,12499,#N/A
Aaron Ochsenbein,sa3011241,26
Jake Stinnett,sa738473,#N/A
Kohl Stewart,15502,27
Alexander Manasa,sa3004213,24
Matthew Liberatore,sa3008163,22
Jacob Lopez,sa3008338,24
Hunter Brown,sa3010571,23
Ryan Weiss,sa3007778,25
Ryan Brasier,5615,34
Braeden Ogle,sa917989,24
Joe Smith,3281,38
Juan Gonzalez,sa3007479,25
Tyler Carr,sa3007491,26
Nick Ramirez,12575,32
Roel Ramirez,16470,27
Jakob Hernandez,sa3004823,26
Connor Seabold,19695,26
Spencer Howard,23252,25
Diomar Lopez,sa828277,25
Matthew Tomshaw,sa598974,33
James Kaprielian,18331,28
Chester Pimentel,sa877342,26
Brandon Eisert,sa3014798,24
Shumpei Yoshikawa,sa3008654,27
Jeanmar Gomez,9033,#N/A
Michael Plassmeyer,sa3006962,25
Mayckol Guaipe,11663,#N/A
Yordy Cabrera,sa548243,#N/A
Ricardo Pinto,16318,28
Sean Rackoski,sa3006964,27
Sam Tuivailala,13485,#N/A
Drew Gagnon,12545,#N/A
Matthew Tenuta,sa658605,#N/A
Tyler Burch,sa1172727,24
Daulton Jefferies,19345,26
Peyton Battenfield,sa3010133,24
Jefry Rodriguez,17018,28
Sean McLaughlin,sa659266,28
Mason Fox,sa3007460,25
Keury Mella,15964,28
James Hintzen,sa3006763,26
Frank Rubio,sa3005162,27
Erasmo Ramirez,10314,32
Brandon Workman,11428,33
Jaime Schultz,15066,31
Thomas Jankins,sa873276,26
Jumbo Diaz,3397,#N/A
Mario Sanchez,sa691863,27
Ryan Garton,14016,#N/A
Tyler Herb,sa829625,30
Zac Grotz,18256,29
Elvis Peguero,21652,25
Jonathan Stiever,24584,25
Justin Lasko,sa1052944,25
Luis Castillo,sa657838,27
William Lescher,sa3004471,26
Dallas Keuchel,9434,34
Kolton Ingram,sa3011149,25
Tanner Banks,sa829193,30
Ryan Moseley,sa738670,27
Nathan Fisher,sa3009863,26
Ryan O'Rourke,10976,#N/A
Scott Engler,sa918353,25
Matt Pierpont,sa738366,#N/A
Jonathan Wynkoop,sa875060,28
Mauricio Llovera,20080,26
Yohander Mendez,14391,#N/A
Keegan Akin,19362,27
Brett Hanewich,sa874149,#N/A
Joshua Green,sa3006701,26
Tommy Milone,7608,35
Ethan DeCaster,sa3007732,27
Jeff Samardzija,3254,37
Sal Romano,13690,28
Isaac Mattson,20385,26
Erik Goeddel,11712,#N/A
Philip Pfeifer,sa602699,29
Alex Young,18333,28
James Reeves,sa875266,29
Domingo Tapia,12178,30
Dennis Santana,17878,26
Nelson Gonzalez,sa506311,32
Nick Vincent,7555,35
Kyle Barraclough,13713,32
Jeff Brigham,16631,30
Tyler Johnson,sa915688,26
Jenrry Mejia,8476,#N/A
William Cuevas,13331,#N/A
Brian Schlitter,3599,36
Elio Serrano,sa917324,23
Kyle Tyler,22092,25
Scott Griggs,sa502935,#N/A
Joel Cesar,sa917887,26
Seth Blair,sa526934,33
Kyle Bradish,sa3008605,25
Nicholas Swiney,sa3014542,23
Raul Carrillo,sa795710,#N/A
Alexander Guillen,sa737454,26
Dakota Hudson,19206,27
Trey McGough,sa1170436,24
Freddy Pacheco,sa3006164,24
Jordan Guerrero,sa875153,25
Adonis Medina,19903,25
Austin Brice,17237,30
Dylan Hall,sa3015008,24
Luis Martinez,sa830305,#N/A
Sandro Cabrera,sa873292,#N/A
Joshua Torres,sa659907,#N/A
Hector Rondon,2391,34
Andrew Bellatti,10657,30
Al Alburquerque,6324,#N/A
Dakota Bacus,14545,31
Brian Marconi,sa3010665,25
David McKay,19814,27
Olbis Parra,sa737234,#N/A
Tanner Chleborad,sa599273,#N/A
Troy Bacon,sa918926,25
Edgar Escobar,sa3007244,25
Hector Hernandez,sa501640,#N/A
Matthew Seelinger,sa3004483,27
Jackson Rose,sa3008129,26
Luke Bard,14288,31
Dario Beltre,sa550679,#N/A
Robbie Erlin,10354,31
Jeffrey Johnstone,sa3004190,27
Melvi Acosta,sa917401,27
Brian Gonzalez,sa828794,26
Tyler Webb,14974,31
Mike Kickham,11618,33
Emilio Ogando,sa829049,#N/A
Ryan Halstead,sa549980,#N/A
Matthew Brill,sa738328,27
Yoanner Negrin,sa608348,#N/A
Yapson Gomez,sa737676,#N/A
Adonis Uceta,sa737486,#N/A
Dylan Bundy,12917,29
Alan Busenitz,15239,#N/A
Andrew Schwaab,sa857571,29
Jeremy Rhoades,sa827471,29
J.D. Martin,3685,#N/A
Lucas Gilbreath,21290,26
Vincenzo Aiello,sa3004320,27
Seth Elledge,19766,26
Alex Wilson,9239,#N/A
Kyle Brnovich,sa3014923,24
Eric Yardley,15538,31
Robert Orlan,sa503562,#N/A
Karsen Lindell,sa875227,26
Adalberto Mejia,13188,#N/A
Keyvius Sampson,10039,31
Jared Shuster,sa3014483,23
Casey Harman,sa549808,#N/A
Deivi Garcia,20276,23
Colin Holderman,sa918172,26
Joshua Graham,sa658525,28
Brent Killam,sa3014927,24
Tanner Anderson,18029,29
Thomas Hackimer,sa872726,28
Clarke Schmidt,19899,26
Miguel Yajure,21111,24
Brandon Maurer,4878,#N/A
Andrew Brown,sa918255,24
Jasier Herrera,sa873294,24
Cody Tyler,sa3007265,27
Kirkland McCarty,sa915824,26
Tristan Beck,sa3008526,26
Jonathan Hennigan,sa918447,27
Andrew Miller,6785,37
Ladson Brown,sa3014847,23
Rodolfo Martinez,sa206642,#N/A
David Roseboom,sa550321,#N/A
Wei-Chieh Huang,17508,#N/A
Gabriel Moya,16348,#N/A
Trevor Lane,sa918196,28
Evan Grills,sa548475,#N/A
Casey Coleman,8270,#N/A
Evan Kruczynski,sa3004341,27
Brandon White,sa918249,27
Locke St. John,16850,29
Jacob Lindgren,16215,29
Kody Funderburk,sa3007780,25
Kyle Ryan,11753,30
Darwin Ramos,sa737380,#N/A
Yoanys Quiala,sa876861,#N/A
Brian Moran,9646,33
Collin Kober,sa913150,27
Roenis Elias,12673,#N/A
Burch Smith,12784,32
Kevin Lenik,sa919332,#N/A
Michael Byrne,sa3008227,25
Cale Coshow,sa738313,29
Joshua Hejka,sa3011152,25
Zachary Muckenhirn,sa915809,27
Jonathon Olczak,sa875297,28
Jordan Weems,13190,29
Reed Garrett,16866,#N/A
Jason Foley,19531,26
Neil Ramirez,7677,#N/A
Dayeison Arias,sa3002812,25
Jacob Simon,sa875558,#N/A
William Simpson,sa738717,30
Tanner Dodson,sa3007008,25
Sergio Romo,9817,39
Diego Moreno,6238,34
Jake Cosart,sa828802,#N/A
Zachary Erwin,sa857605,28
Jace Vines,sa917985,27
Kyle Dohy,20334,25
Jonathan Aro,14699,#N/A
Joe Gatto,sa828693,27
Steven Moyers,sa920718,28
Juan Gamez,sa918731,28
Jordan Sheffield,19682,27
Sean Boyle,sa3007618,25
Hayden Deal,sa3004680,27
Chase Shugart,sa3008548,25
Gavin Stone,sa3014810,23
Brandon Walter,sa3010826,25
Erik Manoah,sa829063,26
James Naile,sa875263,29
Douglas Baxendale,sa577014,#N/A
Steven Klimek,sa876117,28
Jose Valdez,14470,#N/A
Chase Solesky,sa3009940,24
John Russell,sa3004771,26
Luis Madero,20399,25
Kolton Mahoney,sa829372,#N/A
Dylan Myers,sa918356,#N/A
Phillips Valdez,15605,30
Yennsy Diaz,20218,25
Gerson Moreno,sa736656,26
Kaleb Ort,20061,30
Mike Morin,13442,31
Daniel Ponce de Leon,16110,30
Steve Cishek,6483,36
Declan Cronin,sa3010252,24
Levi Kelly,sa3008500,23
Victor Payano,sa548111,#N/A
Nicholas Ernst,sa3010558,25
Francisco Jimenez,sa659658,#N/A
Hunter Stratton,sa3004216,25
Maxwell Gamboa,sa3005358,26
Logan Allen,sa3014444,23
Tyler Jay,sa857588,#N/A
Markus Solbach,sa599472,30
Jordan Yamamoto,17585,26
Zakaria Baayoun,sa3010661,24
Dario Agrazal,15821,27
Nick Howard,sa827196,29
Ryan Mason,sa856254,27
Felix Bautista,sa737480,27
Wyatt Short,sa874187,27
Elian Leyva,sa964182,#N/A
Austin McGeorge,sa918047,#N/A
Stephen Gonsalves,15492,27
Michael Baird,sa3006810,26
Gabriel Ynoa,12938,#N/A
Nestor Molina,sa503616,#N/A
Logan Gillaspie,sa3008386,25
Taylor Williams,14899,30
Samuel Lewis,sa701852,#N/A
Silvino Bracho,15051,29
Justin Evans,sa3014795,25
Harol Gonzalez,sa828505,#N/A
Francis Martes,17303,26
Derek Self,sa577722,#N/A
Joe Broussard,sa708442,#N/A
Brennan Bernardino,sa829409,#N/A
Adam Kolarek,10843,33
Cristofer Melendez,sa873429,24
Eduardo Jimenez,19642,#N/A
John Marshall,sa829246,26
Bradley Case,sa3007613,25
Scott Boches,sa3004022,#N/A
Jose Adames,sa597194,29
Kelvin Gonzalez,sa920544,24
Justin Grimm,11720,33
Hector Santiago,4026,34
Glenn Sparkman,15200,30
Kyle Muller,20167,24
Zachary Kent,sa3010315,24
Matthew Festa,19330,29
Carlos Frias,3547,#N/A
Thomas Szapucki,21065,26
Robert Garcia,sa915840,26
Donald Jeter,sa738369,#N/A
Henry Henry,sa918121,23
Joseph Cox,sa876303,#N/A
Caleb Freeman,sa3011339,24
Thomas Colletti,sa3004927,#N/A
Eury Ramos,sa873729,24
Eddy Demurias,sa3007852,24
Ryan Tapani,sa3007254,28
Liarvis Breto,sa656021,#N/A
Andrew Church,sa737545,#N/A
Wil Crowe,19800,27
Yency Almonte,15068,28
Dillon Overton,15627,#N/A
Rodrigo Benoit,sa747275,#N/A
Daniel Zamora,17811,29
Gerson Bautista,19256,27
Cody Stull,sa829651,#N/A
Adam Hill,sa876313,25
Jake Buchanan,10962,32
Joseph Gunkel,sa738176,#N/A
Keynan Middleton,15264,28
Ryan Sherriff,12249,32
JC Mejia,20617,25
James McArthur,sa3007715,25
Sam Selman,13397,31
Tim Dillard,5518,#N/A
Dominic LoBrutto,sa3004573,26
Nicholas Wells,sa828791,26
Kevin Quackenbush,12360,33
Fitzpatrick Stadler,sa876081,25
Kevin Gadea,sa735841,27
Chris Tillman,5279,#N/A
Emerson Martinez,sa747285,#N/A
Samuel Williams,sa3010385,26
Alexander Moore,sa3011534,25
Aaron Fletcher,22052,26
Daniel Morgan,sa3009860,25
Andrew Albers,7853,36
Jordan Foley,sa599323,#N/A
Peyton Gray,sa3008046,27
Andrew Parrish,sa3011395,24
Andrew Edwards,sa1170614,25
Ryan Feierabend,6336,#N/A
Tyler Clippard,5640,37
Tyler Erwin,sa918535,27
Matt Hall,18076,28
Jason Hursh,14914,#N/A
Brian Flynn,12027,#N/A
Jorge De La Rosa,2047,#N/A
Sean Keselica,sa876113,#N/A
Buck Farmer,14814,31
Holden Capps,sa3004097,27
Anyelo Gomez,sa737475,#N/A
Braxton Ashcraft,sa3008470,22
Daniel Brown,sa918031,#N/A
Dylan Thompson,sa829545,#N/A
Tommy Hunter,1157,35
Jim Johnson,3656,#N/A
Jaime Garcia,8137,#N/A
Colton Eastman,sa3008312,25
Tate Scioneaux,sa857686,29
Andrew Perez,sa3006640,24
Juan Oramas,sa508100,#N/A
Joseph Cantillo,sa3005246,22
Matt Albers,4300,#N/A
Avery Whitney,sa3007966,26
Frederic Tarnok,sa3005175,23
Bryce Hensley,sa3006988,#N/A
Jose Mesa,sa658593,28
Brandon Brennan,13527,30
Kenny Hernandez,sa943755,24
Pat Venditte,7108,37
Matt Carasiti,13276,#N/A
Ryne Inman,sa875696,26
Jonathan Bermudez,sa3007832,26
Logan Verrett,12905,32
Joseph Jones,sa3014870,26
Garrett Williams,sa738512,27
Bryan Shaw,8110,34
Andro Cutura,sa827476,#N/A
Geoff Hartlieb,19558,28
Logan Darnell,11261,#N/A
Andres Sotillet,sa917861,25
Mitchell Horacek,sa550295,30
Justin Haley,13572,#N/A
Adam Leverett,sa1169991,23
Wes Parsons,14764,#N/A
Colten Brewer,12997,29
Daniel Young,sa875200,28
Ashton Goudeau,15139,29
Avery Weems,sa3010256,25
Nicholas Bennett,sa3011410,24
Brody Koerner,17748,28
Mark Potter,sa3008066,24
John Olson,sa3002779,27
Hayden Wesneski,sa3010617,24
Michael Gomez,sa3008454,25
Cody Beckman,sa3004698,27
Josh Tomlin,9388,37
Logan Bawcom,sa549287,#N/A
Chad Bettis,10587,#N/A
Matt Wotherspoon,16452,#N/A
Seth Maness,12235,#N/A
Justin Lewis,sa3008577,26
Connor Jones,sa738697,27
Xavier Cedeno,36,#N/A
Raynel Espinal,19516,30
Matt Moore,1890,33
Wei-Yin Chen,13071,#N/A
Tim Collins,3164,#N/A
Joseph Zanghi,sa875398,27
Peter Moylan,4891,#N/A
Jeffrey Ames,sa503692,#N/A
Denny Bentley,sa3007931,24
Josh A. Smith,10946,34
Jordan Humphreys,sa875762,26
Kyle Kubat,sa827380,29
Fernando Salas,4971,#N/A
Dan Winkler,12237,32
Brandon Beachy,8851,#N/A
Tyler Bashlor,15203,29
Rio Gomez,sa3004676,27
Luke Gregerson,4090,#N/A
Logan Cozart,sa875283,29
Will Vest,19769,27
Ryan Pepiot,sa3011244,24
Neil Pallante,sa3011186,23
Yeizo Campos,sa919234,26
Jhan Marinez,5830,#N/A
Zach Logue,sa915822,26
Joseph Estes,sa3011637,20
Juan Martinez,sa657740,#N/A
Rogelio Armenteros,17679,28
Seth McGarry,sa857614,#N/A
Kyle Bird,16618,#N/A
Brody Rodning,sa3004591,26
Collin Snider,sa3004093,26
Jackson Rutledge,sa3011338,23
Ian Seymour,sa3014512,23
William Murfee,sa3006775,28
Marcos Diplan,17583,25
Yoshihisa Hirano,19756,38
Andrew Quezada,sa3009858,25
Carlos Sano,sa3005415,#N/A
Eric Cochran-Gill,sa827389,#N/A
Nolan Long,sa659265,#N/A
Anthony Vasquez,6577,#N/A
Juan Morillo,sa917772,23
Cory Gearrin,7947,36
Matt Bowman,13528,#N/A
Joel Seddon,sa599194,#N/A
Joe Harvey,16459,30
Sean Gilmartin,12781,32
Luis Ledo,sa740812,27
Matthew Kent,sa875610,29
Cory Thompson,sa738349,27
Daniel Goggin,sa3009998,25
Juan Mejia,sa3002949,23
Yerry Rodriguez,sa918130,24
Ryley Gilliam,sa3008225,25
Ryan Clark,sa875057,28
Yohan Flande,5057,#N/A
Dalton Sawyer,sa875849,28
Jesus Rios,sa736833,#N/A
Alberto Guerrero,sa872514,24
Andrew Karp,sa3007707,26
Kevin Marnon,sa3005261,28
Joshua Walker,sa3004488,27
Jose Dominguez,11571,#N/A
Calvin Faucher,sa3004013,26
Matt Whitehouse,sa738202,#N/A
Dalbert Siri,sa873148,26
Nattino Diplan,sa737469,#N/A
Elliot Ashbeck,sa875665,#N/A
Robert Harris,sa876068,29
Charles Whitley,sa917930,#N/A
Alexander Katz,sa827486,27
Tyler Phillips,sa875646,24
Travis Lakins,18600,28
Nicholas Duron,sa876053,26
Henry Martinez,sa828216,28
Jose Urena,11589,30
Chris Archer,6345,33
Derek Casey,sa3008259,26
Joseph Navilhon,sa918459,28
Garrett Davila,sa875052,25
Aaron Brooks,12272,#N/A
Nick Margevicius,20395,26
Grant Gavin,sa918674,26
Daniel Mengden,16980,29
Andrew Moore,17553,28
Antonio Santos,20383,25
Eric Hanhold,18332,28
Cory Abbott,20277,26
Fred Schlichtholz,sa3004455,26
Brad Bass,sa829618,26
Wendolyn Bautista,sa737042,#N/A
Forrest Snow,sa549462,#N/A
James Hoyt,14605,35
Denson Hull,sa3010139,25
Matt Bush,1246,36
Cole Stringer,sa3015297,25
Chad Sobotka,17470,28
Kenneth Waldichuk,sa1115814,24
Tommy Layne,7501,#N/A
Christopher Muller,sa3006811,26
John O'Reilly,sa3008134,26
Robert Daniel,sa3015037,25
Jorgan Cavanerio,sa598143,#N/A
Michael Boyle,sa857604,#N/A
Josh Mitchell,sa3004108,27
Luis Amaya,sa872809,23
Luis Oviedo,21728,23
Shawn Kelley,7773,#N/A
Andre Scrubb,20329,27
Joshua Tols,sa971745,#N/A
Reyes Moronta,14966,29
Ty Blach,14361,31
Luis Santos,15006,#N/A
Claudio Custodio,sa547829,31
Kyle Molnar,sa3014909,25
Ryan Castellani,16377,26
Taylor Hearn,18325,27
Keider Montero,sa3002956,21
Tommy Romero,sa3004469,24
Taylor Lehman,sa3007834,26
Leovanny Rodriguez,sa878421,#N/A
Wade LeBlanc,5221,37
Vicente Campos,11681,#N/A
Zac Reininger,15285,29
Joey Gerber,24591,25
Alexander Scherff,sa3005397,24
Joseph Keys,sa1170341,25
Alfredo Villarreal,sa3011477,24
Kevin McCanna,sa658530,28
Vidal Nuno,9674,34
